"ID"	"date"	"method"	"TP_mgL"	"TNb_mgL"	"As_ugL"	"Zn_ugL"	"Pb_ugL"	"Hg_ugL"	"Cu_ugL"	"Cd_ugL"
"S27"	"2018-10-16"	"grab"	0.134	4.83	1.3	0	0		0.7	0.02
"S27"	"2018-06-25"	"eds"						0		
"S27"	"2018-05-03"	"grab"	0.04	10.2	1.1	0	0	0.003	2.9	0
"S27"	"2018-06-07"	"grab"	0.017	6.68	1.4	0	0	0	1.4	0
"S28"	"2019-07-01"	"grab"	0.015	0.145	0	4	0	0	0.8	0
"S28"	"2019-04-17"	"grab"	0.027	2.08	0	0	0	0.003	0.6	0
"S28"	"2019-04-30"	"grab"	0.113	1.24	0	0	0	0.004	0	0
"S28"	"2019-05-21"	"grab"	0.061	0.466	0	0	0	0.004	0.9	0
"S28"	"2019-06-11"	"eds"	0.043	1.34	0	0	0	0	0.6	0
"S28"	"2019-06-12"	"grab"	0.057	1.13	0.7	3	0	0	0.7	0
"S29"	"2019-06-12"	"eds"	0.141	1.91	2.9	0	0	0.05	1	0
"S29"	"2019-07-01"	"grab"	0.257	3.85	3.6	2	0	0.004	1.1	0
"S29"	"2019-04-30"	"grab"	0.018	2.84	1	0	0	0.01	0.9	0
"S29"	"2019-04-16"	"grab"	0.012	5.57	0.7	0	0	0	2.6	0.01
"S29"	"2019-05-21"	"grab"	0.048	3.48	1.2	0	0	0.005	1.3	0
"S30"	"2019-05-02"	"grab"	0.06	4.5	1.2	0	0	0.003	0.8	0
"S30"	"2019-04-16"	"grab"	0.037	4.23	1.1	2	0	0	0.9	0.01
"S30"	"2019-05-23"	"grab"	0.066	3.5	1.3	2	0	0.005	0.6	0
"S30"	"2019-06-12"	"eds"	0.179	6.21	1.3	5	0.77	0.006	7.7	0.02
"S30"	"2019-07-01"	"grab"	0.05	2.47	1.9	7	0.16	0.004	2.9	0.02
"S30"	"2019-06-14"	"grab"	0.059	3.74	1.5	2	0	0.004	1.1	0
"S31"	"2019-06-15"	"eds"	0.217	3.29	0	0	0.19	0.007	3.1	0
"S31"	"2019-05-23"	"grab"	0.058	1.49	0.5	0	0	0.004	0.6	0
"S31"	"2019-07-01"	"grab"	0.035	2.63	0.7	3	0.14	0.005	1	0.02
"S31"	"2019-05-02"	"grab"	0.042	1.53	0.5	0	0	0.003	2.7	0
"S31"	"2019-04-15"	"grab"	0.032	1.75	0	0	0	0	0.6	0
"S31"	"2019-06-14"	"grab"	0.034	1.65	0.8	0	0	0	0	0
"S32"	"2018-05-31"	"eds"			2.1	32	0	0.005	5.8	0
"S32"	"2018-06-04"	"grab"	0.038	2.14	1.1	0	0	0	0	0
"S32"	"2018-04-09"	"eds"			1.7	289	0		3.8	0.15
"S32"	"2018-05-01"	"grab"	0.106	4.22	0.9	3	0	0	1	0
"S32"	"2018-10-15"	"grab"	0.022	0.775	0.9	0	0		1.2	0
"S33"	"2018-04-15"	"eds"			0.9	3	0		4.4	0
"S33"	"2018-06-04"	"grab"	0.025	2.39	0.6	0	0	0.004	0	0
"S33"	"2018-05-01"	"grab"	0.025	3.76	0	0	0	0.003	0	0
"S33"	"2018-10-15"	"grab"	0.007	0	0	0	0		1	0
"S34"	"2018-05-31"	"eds"			0	44	0		2.2	0.02
"S34"	"2018-10-17"	"grab"	0.049	2.27	0.7	3	0		0	0.03
"S34"	"2018-05-15"	"eds"	0.011	1.89	0	97	0	0.002	3.8	0.03
"S34"	"2018-05-02"	"grab"	0.057	3.59	0	2	0	0.002	1.5	0.18
"S34"	"2018-06-10"	"eds"	0.015	2.56	0	3	0		3	0
"S34"	"2018-06-10"	"eds"	0.075	2.84	0	7	0	0.003	1.2	0
"S34"	"2018-06-06"	"grab"	0.007	1.07	0	0	0	0	0.6	0
"S35"	"2019-07-01"	"grab"	0.018	4.51	1.3	2	0	0.004	2.9	0
"S35"	"2019-04-26"	"eds"	0.035	2.88	0.9	2	0	0	1.3	0
"S35"	"2018-06-06"	"grab"	0	5.22	1.2	0	0	0	0	0
"S35"	"2018-05-15"	"eds"	0.05	4.79	1	35	0	0	2.9	0
"S35"	"2019-06-20"	"eds"	0.023	1.36	1.2	0	0	0	4.8	0
"S35"	"2018-05-10"	"eds"	0.146	2.55	2.3	200	1.3	0.008	5.7	0.1
"S35"	"2019-05-01"	"grab"	0	3.54	0.8	0	0	0.003	1.3	0
"S35"	"2019-04-10"	"grab"	0	5.04	0.6	0	0	0	0	0
"S35"	"2019-05-07"	"eds"			0.7	8	0	0.004	6.3	0
"S35"	"2018-05-15"	"eds"	0.012	6.19				0.003		
"S35"	"2019-05-16"	"eds"	0.016	3.38	0.8	0	0	0	1.2	0
"S35"	"2018-05-31"	"eds"			1.3	33	0	0.005	3.9	0
"S35"	"2019-05-20"	"eds"	1.69	14.1	2	0	0	0.028	3.7	0.02
"S35"	"2018-04-09"	"eds"			1.4	86	0		3.9	0.07
"S35"	"2019-06-12"	"grab"	0.029	6.9	1.4	0	0	0	5.1	0.02
"S35"	"2018-05-01"	"grab"	0.036	4.32	0	0	0	0	0	0.04
"S35"	"2019-06-10"	"eds"	0.055	4.65						
"S35"	"2019-05-22"	"grab"	0.074	15.8	1.2	3	0	0.008	2.2	0.02
"S35"	"2019-06-11"	"eds"	0.668	7.47	2.2	15	8.59	0.021	3.9	0.12
"S35"	"2018-10-16"	"grab"	0.112	3.89	0.7	0	0		0	0
"S36"	"2018-06-08"	"eds"	1.14	10.1	0.7	0	0	0.08	1.4	0
"S36"	"2018-06-05"	"grab"	0.008	4.12	0.7	0	0	0	0.5	0
"S36"	"2018-06-22"	"eds"	0.054	5.22	0.8	0	0	0.003	2.3	0
"S36"	"2018-05-04"	"grab"	0.04	5.22	0	0	0	0	0.8	0.05
"S37"	"2019-06-13"	"grab"	0.046	4.37	0.6	5	0.37	0	4.4	0.02
"S37"	"2019-07-01"	"grab"	0.032	6.52	0	4	0	0.004	1.2	0.03
"S37"	"2019-05-22"	"grab"	0.056	3.51	0	10	0	0.006	0.7	0.07
"S37"	"2019-04-12"	"grab"	0.076	3.64	0	16	0	0	0	0.14
"S37"	"2019-05-01"	"grab"	0.031	2.9	0.5	6	0	0.003	0	0
"S38"	"2019-06-12"	"grab"	0.027	8.74	0.9	0	0	0.006	2.2	0.03
"S38"	"2019-05-20"	"eds"	0.399	24.2	1.4	0	0	0.04	2.5	0.05
"S38"	"2019-05-22"	"grab"	0.012	21.2	0	2	0	0.006	1.4	0.02
"S38"	"2019-04-09"	"grab"	0	8.05	0	0	0	0	0.5	0
"S38"	"2019-07-01"	"grab"	0.062	4.48	0.9	2	0	0.01	2.5	0.03
"S38"	"2019-05-01"	"grab"	0	5.69	0	0	0	0.003	1.1	0
"S39"	"2019-06-12"	"grab"	0.016	2.77	0.8	0	0	0	1.7	0
"S39"	"2019-05-20"	"eds"	3.77	10.2	0.7	0	0	0.354	1.3	0
"S39"	"2019-07-01"	"grab"	0.03	1.48	1.1	3	0	0	3.5	0
"S39"	"2019-04-10"	"grab"	0	3.78	0	0	0	0	2.6	0
"S39"	"2019-05-22"	"grab"	0.014	20.4	0.6	0	0	0.005	4	0
"S39"	"2019-05-01"	"grab"	0	2.03	0.7	0	0	0	1.5	0
"S40"	"2018-10-16"	"grab"	0.007	6.8	0	0	0		0	0
"S40"	"2018-06-06"	"grab"	0.043	5.91	0.6	0	0	0.003	0	0
"S40"	"2018-05-01"	"grab"	0.107	6.85	0.6	0	0	0.003	0.7	0
"S40"	"2018-05-10"	"eds"	0.107	3.5	1.2	35	5.3	0.006	12.2	0.04
"S40"	"2018-05-31"	"eds"			0	2	0	0.165	2.9	0
"S40"	"2018-05-15"	"eds"	0.037	4.68	0.7	55	0	0.003	2.7	0.03
"S40"	"2018-06-22"	"eds"	0.223	7.36	0.7	2	0	0.013	4.6	0
"S41"	"2018-10-16"	"grab"	0.013	0	0	3	0		0	0.06
"S41"	"2018-05-29"	"eds"			0.5	142	0		6.5	0.07
"S41"	"2018-06-05"	"grab"	0.068	3.24	0	0	0	0	0	0.02
"S41"	"2018-05-02"	"grab"	0.077	4.41	0	2	0	0.002	2.1	0.07
"S42"	"2018-10-16"	"grab"	0.116	2.44	7.1	3	0		0.6	0.02
"S42"	"2018-05-02"	"grab"	0.126	1.45	5.4	0	0	0	4.2	0.02
"S42"	"2018-05-31"	"eds"			4.8	78	0		3.8	0.02
"S42"	"2018-06-05"	"grab"	0.021	0.732	5.6	0	0	0	1	0.04
"S42"	"2018-05-10"	"eds"	0.03	0.327	4.4	84	0	0.002	2.7	0.04
"S43"	"2018-04-15"	"eds"			0.5	2	0		3.8	0
"S43"	"2018-05-01"	"grab"	0.036	4.62	0	0	0	0.003	0.6	0.03
"S43"	"2018-05-12"	"eds"			0	69	0		2.3	0.04
"S43"	"2019-06-12"	"grab"	0.007	4.51	0.8	2	0	0	1.4	0
"S43"	"2019-06-12"	"eds"	0.021	1.63	0.5	0	0	0	1.9	0
"S43"	"2019-04-26"	"eds"	0.09	2.62	0	15	0	0	1.7	0
"S43"	"2018-10-16"	"grab"	0.014	0.574	0	0	0		0	0
"S43"	"2019-06-19"	"eds"	0.021	2.85	0.5	0	0	0	4.1	0.02
