"ID"	"year"	"streamType"	"FS.confirmed"	"URL.portal"
"S38"	2019	"Typ 6: Feinmaterialreiche, karbonatische Mittelgebirgsbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5760795.00&Y=603107.50&zoom=10"
"S39"	2019	"Typ 6: Feinmaterialreiche, karbonatische Mittelgebirgsbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5764089.09&Y=601243.55&zoom=10"
"S40"	2018	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5787077.50&Y=613192.50&zoom=10"
"S41"	2018	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5850743.27&Y=483235.57&zoom=10"
"S42"	2018	"Typ 14: Sandgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5812160.00&Y=397525.00&zoom=9"
"S43"	2019	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&catalogNodes=&layers=Oekologischer_Zustand_Potenzial_Fliessgewaesser&X=5794267.50&Y=619660.00&zoom=10"
"S43"	2018	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&catalogNodes=&layers=Oekologischer_Zustand_Potenzial_Fliessgewaesser&X=5794267.50&Y=619660.00&zoom=10"
"S44"	2019	"Typ 16: Kiesgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&catalogNodes=&layers=Oekologischer_Zustand_Potenzial_Fliessgewaesser&X=5838240.00&Y=497515.00&zoom=9"
"S45"	2019	"Typ 16: Kiesgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Oekologischer_Zustand_Potenzial_Fliessgewaesser&X=5841060.00&Y=486580.00&zoom=9"
"S46"	2018	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Oekologischer_Zustand_Potenzial_Fliessgewaesser&X=5786635.00&Y=613752.50&zoom=10"
"S47"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://www.elwasweb.nrw.de/elwas-web/index.jsf#"
"S48"	2019	"Typ 14: Sandgeprägte Tieflandbäche"	"no"	"https://www.elwasweb.nrw.de/elwas-web/index.jsf#"
"S49"	2019	"Typ 14: Sandgeprägte Tieflandbäche"	"no"	"https://www.elwasweb.nrw.de/elwas-web/index.jsf#"
"S50"	2019	"Typ 14: Sandgeprägte Tieflandbäche"	"no"	"https://www.elwasweb.nrw.de/elwas-web/index.jsf#"
"S51"	2018	"Typ 7: Grobmaterialreiche, karbonatische Mittelgebirgsbäche"	"no"	"https://www.elwasweb.nrw.de/elwas-web/index.jsf#"
"S52"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S53"	2019	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S53"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S54"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
