"ID"	"date"	"flow_velocity_ms"
"S75"	2019-05-03	0.01
"S75"	2019-05-24	0.1
"S75"	2019-06-14	0
"S76"	2018-04-09	0.5
"S76"	2018-04-09	0.5
"S76"	2018-05-01	0.3
"S76"	2018-05-22	0.2
"S76"	2018-06-05	0.25
"S76"	2018-07-02	0.2
"S76"	2018-10-15	0.05
"S76"	2019-04-16	0.13
"S76"	2019-05-21	0.27
"S76"	2019-05-30	0.25
"S76"	2019-06-11	0.02
"S77"	2018-04-11	0.35
"S77"	2018-05-01	0.3
"S77"	2018-05-24	0.45
"S77"	2018-06-07	0.2
"S77"	2018-10-17	0.2
"S78"	2018-04-11	0.4
"S78"	2018-05-01	0.3
"S78"	2018-05-24	0.25
"S78"	2018-06-07	0.5
"S78"	2018-07-04	0.4
"S78"	2018-10-17	0.4
"S78"	2019-04-12	0.3
"S78"	2019-05-02	0.35
"S78"	2019-05-23	0.2
"S78"	2019-06-13	0.2
"S79"	2018-04-09	0.65
"S79"	2018-05-01	0.3
"S79"	2018-05-22	0.3
"S79"	2018-06-05	0.1
"S79"	2018-07-02	0.15
"S79"	2018-10-15	0.1
"S80"	2019-04-11	0.25
"S80"	2019-05-02	0.2
"S80"	2019-05-23	0.2
"S80"	2019-06-13	0.8
"S81"	2019-04-12	0.2
"S81"	2019-05-03	0.3
"S81"	2019-05-24	0.3
"S81"	2019-06-14	0.24
"S82"	2018-04-09	0.9
"S82"	2018-05-01	0.9
"S82"	2018-05-22	0.4
"S82"	2018-06-07	0.2
"S82"	2018-07-04	0.2
"S83"	2019-04-08	0.6
"S83"	2019-05-07	0.15
"S83"	2019-05-20	0.3
"S83"	2019-06-11	0.5
"S84"	2018-04-12	0.4
"S84"	2018-05-03	0.3
"S84"	2018-05-23	0.3
"S84"	2018-06-14	0.55
"S84"	2018-07-04	0.2
"S85"	2018-05-04	0.1
"S85"	2018-05-24	0.31
"S85"	2018-06-15	0.07
"S85"	2018-07-04	0.1
