"siteID"	"year"	"TUmax"	"speartaxa"	"sapr"	"eptProz"	"TUmetalpeak"	"fliessgeoMean"	"Agriculture"	"area_km2"	"Gesamt"	"grabby"	"pHmean"	"pHquant9"	"NH4"	"NO2"	"NO3"	"PO4"	"TN_mgLlog"	"TP_mgLlog"	"meanO2p25"	"stream_width_m"	"water_depth_cm"	"meantempP75_nt"	"tempP75_nt"
"S43"	2019	-1.73	1.03494228551093	2.21111111111111	33.3333333333333	-0.471444504164287	0.243403477736853	79.2753921931929	4.0165	5	30	7.69333333333333	8.29	0.259163671340217	0.13142617214745	1.3484372734654	0.545208120686526	0.7157131	-0.7472957	7.62	1.44333333333333	37.5	17.45	17.45
"S107"	2019	-4.09	1.67771433633158	1.58775510204082	41.7910447761194	-0.758254437901722	0.506857624558714	1.39044652222809	22.14181	1.8	60	6.42	7.62	0.0130479961152317	0.0356298277904388	0.765295929698056	1.00966331667938	-0.00156628113553112	-2.04095860767891	8.0425	5.00333333333333	23	18.64	18.64
"S44"	2019	-3.45	1.01220706465804	1.93703703703704	38.4615384615385	-0.726337230015758	0.320108587294368	29.6270300518623	21.01883	4.1	30	6.774	7.728	0.0743775376448043	0.346587664800529	1.44610825263537	0.121494186241665	0.940217555599735	-1.40011692792631	8.19	2.48	21.6666666666667	18.44	18.44
"S108"	2019	-3.28	1.43894552760256	1.84444444444444	72.3684210526316	-0.305719948008571	0.304959013639538	0	2.48721	2.4	100	8.03111111111111	8.404	0.0111473607757975	0.179149480361149	0.666592852459541	0.00078102735349553	0.184691430817599	-0.318939756368188	8.296875	1.098	14.8	18.5	18.5
"S45"	2019	-3.14	0.600833475149757	2.22857142857143	14.2857142857143	-0.0941514174379319	0.263214802590498	62.202103313967	19.08027	4.8	5	6.59	7.7	0.495280628260573	0.259450523716499	2.04906444139722	0.0687052196919412	1.03342375548695	-1.20065945054642	6.96	1.18333333333333	16	21.03	21.03
"S46"	2018	-3.63	0.959897374621559	1.90322580645161	38.9830508474576	-0.587446835783522	0.635534304629287	70.3756275809146	20.64417	3.8	65	8.23333333333333	8.31	0.146128035678238	0.257678574869184	0.954242509439325	0.161368002234975	0.813447544264821	-1.69897000433602	9.22	2.58	19.5	14.88	14.88
"S109"	2019	-3.23	0.791110735281136	1.77777777777778	23.6842105263158	-0.605536268936505	0.15	0	3.35237	2.2	70	7.948	8.006	0.104008850999243	0.207688213335581	0.968501627484796	0.257966409508177	0.478277831919605	-0.685711339052502	7.8575	1.09	7.9	17.07	17.07
"S47"	2018	-1.66	0.650687047799066	1.86307692307692	22.0779220779221	-0.732591797719577	0.464158883361278	54.8567160505494	13.64012	3.2	30	8.028	8.466	0.0863598306747482	0.0863598306747482	1.33243845991561	0	0.979639412222907	-0.565431095965801	8.67	1.81	19	17.62	17.62
"S48"	2019	-2.37	0.641160909002684	2.24883720930233	10	-0.137681059843445	0.0349963551158058	48.7347122836024	16.46951	5.6	25	7.6	8.1	0.368881656176334	0.241795431295199	0.930694387664535	0.740489011333966	0.936312633662193	0.198327117723478	5.0175	1.95	45.5	18.53	18.53
"S49"	2019	-2.92	0.90311357301018	1.92790697674419	32.6923076923077	-0.573956695502395	0.336768410368517	69.8687671859356	7.04033	4.8	40	7.28	8.16	0.0538464268522527	0.0791812460476248	1.28315417703286	0.103803720955957	0.780461332861718	-1.32790214206428	8.63	1.975	13.1666666666667	16.45	16.45
"S50"	2019	-2.51	0.672197941098476	1.96984126984127	24.7422680412371	-0.533375989844045	0.416179145028782	74.5827031788739	4.3957	3.6	50	7.334	8.16	0.34551095769695	0.155214539497588	1.15121657885646	0.404816618075401	0.635483746814912	-0.698970004336019	9.71	1.5	21.5	15.71	15.71
"S51"	2018	-1.31	0.710881553487356	2.16451612903226	37.5	-0.265035279743684	0.355655882007785	66.4476144323827	21.186	3.3	90	7.878	8.304	0.230448921378274	0.0899051114393979	1.41497334797082	0.0969100130080564	0.997735776597898	-0.73471037413917	7.56	1.82	14	16.28	16.28
"S52"	2018	-1.7	0.767377659115262	2.275	24.3243243243243	-0.0167448551764811	0.225831795812724	20.891153356853	2.15081	3.5	80	7.78727272727273	8.01	0.0791812460476248	0.010299956639812	0.544068044350276	0.296665190261531	1.04155058171765	0.361727836017593	8.32	0.45333333325	6.666666667	19.56	19.56
